		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111100010    5    1    1    5    2    3    5    1 11.222678 0.189398 SUCCESS 133
111100100    3    1    3    4    5    2    3    1  6.075785 0.638743 SUCCESS 134
111100110    0    4    1    1    1    2    0    4  9.746463 0.283274 SUCCESS 135
111101000    4    6   11    3    2    1    4    6 45.149143 0.000000 FAILURE 136
111101010    2    2    1    2    2    4    2    2  2.372008 0.967432 SUCCESS 137
111101100    4    4    2    1    0    1    4    4  8.492011 0.386941 SUCCESS 138
111101110    1    2    3    4    1    3    2    2  3.282230 0.915418 SUCCESS 139
111110000    3    4    3    1    0    2    3    4  5.950009 0.652832 SUCCESS 140
111110010    3    2    2    3    7    2    3    2  9.590898 0.294921 SUCCESS 141
111110100    2    7    7    2    0    1    2    7 30.178469 0.000197 FAILURE 142
111110110    6    3    3    3    0    4    6    3 14.926455 0.060591 SUCCESS 143
111111000    4    2    2    3    2    0    4    2  5.039787 0.753315 SUCCESS 144
111111010    1    3    4    2    0    2    1    3  5.698457 0.680967 SUCCESS 145
111111100    4    5    1    3    5    2    4    5 11.600006 0.169963 SUCCESS 146
111111110    2    4    5    7    2    2    2    4 14.079121 0.079726 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    4    3    1    1    5    4    2  9.339345 0.314483 SUCCESS   0
000000011    2    4    1    3    2    3    4    2  3.470895 0.901437 SUCCESS   1
000000101    2    2    1    2    3    2    3    2  1.524674 0.992290 SUCCESS   2
000000111    1    3    1    2    1    2    3    2  3.093566 0.928349 SUCCESS   3
000001001    4    5    5    1    3    3    3    2  8.022006 0.431323 SUCCESS   4
000001011    1    2    4    4    3    1    2    5  6.923119 0.544950 SUCCESS   5
000001101    2    0    1    4    5    3    3    1  8.429123 0.392713 SUCCESS   6
000001111    1    4    0    3    1    2    3    4  6.671567 0.572447 SUCCESS   7
000010001    5    2    3    1    2    3    7    2 13.043122 0.110374 SUCCESS   8
000010011    2    6    2    1    3    4    2    1  8.554899 0.381222 SUCCESS   9
000010101    0    3    0    0    4    2    0    1 12.099801 0.146806 SUCCESS  10
000010111    1    2    6    1    2    2    3    7 16.369571 0.037386 SUCCESS  11
000011001    1    2    1    4    0    2    3    0  8.051795 0.428427 SUCCESS  12
000011011    4    2    3    1    5    1    1    2  6.734455 0.565535 SUCCESS  13
000011101    3    1    2    2    0    1    1    1  6.231350 0.621335 SUCCESS  14
000011111    3    2    2    7    2    3    3    3  9.653786 0.290171 SUCCESS  15
000100011    5    8    3    1    2    3    5    0 22.489574 0.004085 FAILURE  16
000100101    4    1    4    2    1    3    3    1  5.039787 0.753315 SUCCESS  17
000100111    4    4    0    3    3    5    4    1  9.590898 0.294921 SUCCESS  18
000101001    4    3    1    4    2    1    1    1  5.761345 0.673945 SUCCESS  19
000101011    1    2    1    1    2    3    0    3  5.509792 0.701955 SUCCESS  20
000101101    3    1    4    2    1    3    1    1  4.851122 0.773363 SUCCESS  21
000101111    1    1    3    1    0    0    2    6 13.198688 0.105194 SUCCESS  22
000110011    1    2    0    2    1    1    1    1  6.952908 0.541722 SUCCESS  23
000110101    1    1    2    3    2    3    4    4  4.255341 0.833382 SUCCESS  24
000110111    4    3    3    0    6    1    1    2 11.034014 0.199779 SUCCESS  25
000111001    4    1    1    0    2    7    3    3 14.486238 0.069940 SUCCESS  26
000111011    3    1    1    1    1    0    1    2  7.015796 0.534929 SUCCESS  27
000111101    6    1    2    1    2    2    1    0 10.719573 0.218100 SUCCESS  28
000111111    1    3    1    6    4    2    2    1  9.339345 0.314483 SUCCESS  29
001000011    5    1    2    4    2    2    2    2  5.102675 0.746548 SUCCESS  30
001000101    2    0    3    2    2    3    4    3  4.192453 0.839356 SUCCESS  31
001000111    8    4    3    4    3    4    3    3 16.872676 0.031463 SUCCESS  32
001001011    2    2    4    3    3    4    0    3  5.165563 0.739743 SUCCESS  33
001001101    1    6    4    0    3    3    2    3 10.312456 0.243777 SUCCESS  34
001001111    2    3    3    1    0    3    2    1  4.788234 0.779952 SUCCESS  35
001010011    4    5    3    2    2    1    3    2  5.228451 0.732903 SUCCESS  36
001010101    3    3    3    0    5    1    5    3  9.528010 0.299727 SUCCESS  37
001010111    0    2    2    2    1    4    1    3  5.635568 0.687978 SUCCESS  38
001011011    3    2    2    2    3    7    1    2 10.312456 0.243777 SUCCESS  39
001011101    0    3    5    4    1    4    2    3  8.617787 0.375557 SUCCESS  40
001011111    0    2    2    0    2    3    4    7 15.270684 0.054091 SUCCESS  41
001100101    1    2    1    2    0    4    4    4  7.518901 0.481816 SUCCESS  42
001100111    2    1    1    3    3    0    2    3  4.788234 0.779952 SUCCESS  43
001101011    2    2    2    1    0    3    1    4  5.635568 0.687978 SUCCESS  44
001101101    2    4    5    4    3    2    6    2 10.689784 0.219903 SUCCESS  45
001101111    5    3    3    1    3    2    4    2  5.291339 0.726032 SUCCESS  46
001110101    4    0    1    4    2    0    3    1  9.024905 0.340199 SUCCESS  47
001110111    5    2    2    1    1    2    2    2  4.914011 0.766726 SUCCESS  48
001111011    1    1    2    0    2    1    1    2  6.168462 0.628368 SUCCESS  49
001111101    7    3    0    5    0    5    1    3 20.606242 0.008270 FAILURE  50
001111111    2    2    3    4    4    1    2    0  5.824233 0.666913 SUCCESS  51
010000011    2    1    1    2    1    4    3    3  4.066676 0.851058 SUCCESS  52
010000111    5    0    1    4    1    1    1    1 10.656685 0.221921 SUCCESS  53
010001011    3    0    4    1    1    1    3    5  9.213569 0.324601 SUCCESS  54
010001111    7    1    2    3    3    2    2    2 10.312456 0.243777 SUCCESS  55
010010011    2    2    3    2    2    2    2    6  6.012897 0.645787 SUCCESS  56
010010111    0    1    4    2    2    2    4    3  5.824233 0.666913 SUCCESS  57
010011011    2    5    4    3    3    4    3    3  5.542891 0.698284 SUCCESS  58
010011111    5    6    3    1    1    2    3    1 11.159790 0.192809 SUCCESS  59
010100011    1    2    2    3    2    1    5    2  4.976899 0.760042 SUCCESS  60
010100111    5    3    5    1    2    1    1    2  8.492011 0.386941 SUCCESS  61
010101011    1    3    5    0    5    2    4    2 10.312456 0.243777 SUCCESS  62
010101111    0    2    2    0    1    5    1    2  9.746463 0.283274 SUCCESS  63
010110011    1    0    3    4    2    2    5    2  7.581789 0.475349 SUCCESS  64
010110111    4    2    2    3    1    3    3    3  2.623560 0.955720 SUCCESS  65
010111011    2    2    3    6    2    3    2    4  7.048895 0.531367 SUCCESS  66
010111111    0    4    2    0    3    4    3    8 20.606242 0.008270 FAILURE  67
011000111    2    0    1    4    1    3    2    0  8.051795 0.428427 SUCCESS  68
011001111    1    0    0    3    3    0    3    1  9.620687 0.292664 SUCCESS  69
011010111    0    5    4    3    1    5    1    6 16.432459 0.036592 SUCCESS  70
011011111    7    1    2    2    1    3    2    2 11.034014 0.199779 SUCCESS  71
011101111    3    2    2    3    3    2    0    3  3.282230 0.915418 SUCCESS  72
011111111    5    7    2    2    1    3    3    2 13.043122 0.110374 SUCCESS  73
100000000    0    4    3    1    1    5    4    2  9.339345 0.314483 SUCCESS  74
100010000    7    1    2    2    0    0    2    2 15.019132 0.058775 SUCCESS  75
100100000    2    3    2    1    1    1    5    2  5.761345 0.673945 SUCCESS  76
100101000    0    2    3    2    2    3    4    5  6.860231 0.551785 SUCCESS  77
100110000    1    2    1    2    1    3    2    2  3.030678 0.932418 SUCCESS  78
100111000    2    2    2    1    5    2    3    2  4.192453 0.839356 SUCCESS  79
101000000    0    5    4    5    2    4    2    3 10.501120 0.231599 SUCCESS  80
101000100    5    2    4    2    2    4    3    2  5.354227 0.719131 SUCCESS  81
101001000    3    2    3    1    3    3    2    1  2.434896 0.964698 SUCCESS  82
101001100    2    4    0    3    5    4    4    2  8.743564 0.364388 SUCCESS  83
101010000    1    1    3    2    0    1    1    1  7.015796 0.534929 SUCCESS  84
101010100    3    0    2    4    1    1    6    4 11.944236 0.153709 SUCCESS  85
101011000    2    1    0    2    3    0    1    1  7.863131 0.446953 SUCCESS  86
101011100    0    3    5    1    2    3    1    3  7.518901 0.481816 SUCCESS  87
101100000    5    2    1    2    6    1    3    1 11.096902 0.196269 SUCCESS  88
