filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.023,10,0.021177687,0.999355255,0.667311412,0,0.993548387,0.587096774,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,2,1,0.386286408,0.221723301,0.056553398,0.04516129,0,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,3,0.02866135,0.992460463,0.696579625,0.000919456,0.987096774,0.567741935,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,4,0.020957485,0.998543336,0.721534353,0.000242777,0.967741935,0.574193548,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,5,0.014193146,1,0.759225092,0,1,0.651612903,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,6,0.023070448,1,0.728862974,0,1,0.632258065,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,7,0.01996417,0.996566524,0.717596567,0,0.987096774,0.625806452,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,8,0.019450198,0.995260664,0.685781991,0,0.967741935,0.612903226,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,9,0.027246766,0.992765721,0.689482471,0,0.974193548,0.612903226,0
../skyglow/Scenario2-Office-LoS/data3_upto5.mat,155,0.025,10,0.021177687,1,0.673076923,0,1,0.587096774,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,2,1,0.376862035,0.195461506,0.053598775,0.044117647,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,3,0.024308818,0.992251309,0.750366492,0.000628272,0.970588235,0.632352941,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,4,0.024192477,0.996173818,0.742825909,0,0.970588235,0.617647059,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,5,0.017411868,0.992272568,0.767123288,0,0.992647059,0.683823529,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,6,0.016240593,1,0.770471464,0,1,0.669117647,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,7,0.017406237,0.989700834,0.735654733,0,0.985294118,0.647058824,0
