		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101010    3    3    3    0    5    3    3    2  6.075785 0.638743 SUCCESS 137
111101100    1    3    4    2    1    5    5    4  9.653786 0.290171 SUCCESS 138
111101110    1    4    4    1    3    2    3    3  4.318229 0.827331 SUCCESS 139
111110000    0    3    3    2    4    5    2    2  6.860231 0.551785 SUCCESS 140
111110010    2    3    4    3    1    3    3    0  5.039787 0.753315 SUCCESS 141
111110100    3    3    1    2    0    2    2    4  4.914011 0.766726 SUCCESS 142
111110110    0    3    4    3    1    4    2    4  6.860231 0.551785 SUCCESS 143
111111000    2    2    1    1    2    5    4    2  5.887121 0.659874 SUCCESS 144
111111010    0    3    1    2    1    1    4    4  7.393125 0.494871 SUCCESS 145
111111100    2    2    2    4    2    4    3    2  2.623560 0.955720 SUCCESS 146
111111110    1    3    2    5    3    3    2    3  4.381117 0.821206 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    2    4    2    2    5    0    6 12.854458 0.116956 SUCCESS   0
000000011    2    2    2    2    3    3    1    3  1.587562 0.991157 SUCCESS   1
000000101    1    0    6    5    0    3    1    3 15.207796 0.055229 SUCCESS   2
000000111    1    4    2    4    4    2    1    1  5.887121 0.659874 SUCCESS   3
000001001    1    5    4    0    1    6    2    5 16.369571 0.037386 SUCCESS   4
000001011    4    2    5    5    0    2    1    2 10.249568 0.247945 SUCCESS   5
000001101    3    0    1    2    3    1    1    1  6.294238 0.614310 SUCCESS   6
000001111    4    2    1    3    2    2    4    3  3.470895 0.901437 SUCCESS   7
000010001    1    4    2    2    2    3    3    1  3.282230 0.915418 SUCCESS   8
000010011    2    5    1    1    3    2    2    3  5.039787 0.753315 SUCCESS   9
000010101    0    2    4    1    3    1    2    2  5.635568 0.687978 SUCCESS  10
000010111    3    1    2    1    0    2    3    2  4.725346 0.786488 SUCCESS  11
000011001    1    2    2    4    2    3    1    1  4.003788 0.856782 SUCCESS  12
000011011    6    1    5    5    4    2    5    1 16.684011 0.033573 SUCCESS  13
000011101    2    4    3    3    4    3    3    4  3.785335 0.875953 SUCCESS  14
000011111    4    1    0    3    1    1    4    0  9.809351 0.278663 SUCCESS  15
000100011    0    4    1    3    1    3    1    2  6.482903 0.593305 SUCCESS  16
000100101    2    3    5    3    2    2    2    7 12.258676 0.140030 SUCCESS  17
000100111    1    2    2    3    4    2    2    4  3.408006 0.906211 SUCCESS  18
000101001    0    1    5    1    5    6    2    5 18.127127 0.020293 SUCCESS  19
000101011    2    2    4    2    4    3    3    3  2.749337 0.949090 SUCCESS  20
000101101    3    5    5    3    1    4    3    2  8.022006 0.431323 SUCCESS  21
000101111    2    3    2    1    1    1    5    1  6.545791 0.586333 SUCCESS  22
000110011    4    1    3    3    3    3    5    2  5.354227 0.719131 SUCCESS  23
000110101    3    1    0    0    1    3    1    2  7.926019 0.440730 SUCCESS  24
000110111    5    2    2    5    3    2    1    2  6.923119 0.544950 SUCCESS  25
000111001    1    5    1    4    3    3    1    2  6.797343 0.558648 SUCCESS  26
000111011    1    0    7    7    2    4    3    4 23.399796 0.002887 FAILURE  27
000111101    3    3    1    5    0    1    2    3  7.518901 0.481816 SUCCESS  28
000111111    1    3    1    0    2    1    3    2  5.509792 0.701955 SUCCESS  29
001000011    4    3    2    5    5    1    2    2  7.896229 0.443672 SUCCESS  30
001000101    2    3    3    1    4    2    5    4  6.201561 0.624665 SUCCESS  31
001000111    0    4    2    2    3    4    0    2  7.456013 0.488323 SUCCESS  32
