filename,times,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1_r.mat,148,3,26681 / 26682 = 0.9999625216,16118 / 26682 = 0.6040776553,13219 / 26682 = 0.4954276291,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,11212 / 11212 = 1.0,6736 / 11212 = 0.6007848733,5614 / 11212 = 0.5007135212,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,5,9374 / 9374 = 1.0,5677 / 9374 = 0.6056112652,4602 / 9374 = 0.4909323661,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,6,9362 / 9362 = 1.0,5910 / 9362 = 0.6312753685,4576 / 9362 = 0.4887844478,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,7,8943 / 8944 = 0.9998881932,5632 / 8944 = 0.6296958855,4341 / 8944 = 0.4853533095,147 / 148 = 0.9932432432,1 / 148 = 0.0067567568,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,2362 / 2362 = 1.0,1793 / 2362 = 0.7591024555,1097 / 2362 = 0.4644369179,148 / 148 = 1.0,11 / 148 = 0.0743243243,3 / 148 = 0.0202702703
../data/data_static_indoor_1_r.mat,148,9,2770 / 2770 = 1.0,2101 / 2770 = 0.7584837545,1286 / 2770 = 0.4642599278,148 / 148 = 1.0,23 / 148 = 0.1554054054,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,10,2602 / 2602 = 1.0,1918 / 2602 = 0.7371252882,1240 / 2602 = 0.476556495,148 / 148 = 1.0,15 / 148 = 0.1013513514,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,11,2614 / 2614 = 1.0,1949 / 2614 = 0.7456006121,1236 / 2614 = 0.4728385616,148 / 148 = 1.0,14 / 148 = 0.0945945946,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,12,2638 / 2638 = 1.0,1926 / 2638 = 0.7300985595,1235 / 2638 = 0.4681576952,148 / 148 = 1.0,13 / 148 = 0.0878378378,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,13,2572 / 2572 = 1.0,1898 / 2572 = 0.7379471229,1257 / 2572 = 0.4887247278,148 / 148 = 1.0,12 / 148 = 0.0810810811,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,14,2746 / 2746 = 1.0,2043 / 2746 = 0.74399126,1341 / 2746 = 0.4883466861,148 / 148 = 1.0,13 / 148 = 0.0878378378,5 / 148 = 0.0337837838
../data/data_static_indoor_1_r.mat,148,15,632 / 632 = 1.0,509 / 632 = 0.8053797468,337 / 632 = 0.5332278481,148 / 148 = 1.0,64 / 148 = 0.4324324324,36 / 148 = 0.2432432432
# (2),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,80463 / 80512 = 0.9993913951,45256 / 80512 = 0.5621025437,40179 / 80512 = 0.4990436208,145 / 148 = 0.9797297297,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,33120 / 33152 = 0.999034749,19757 / 33152 = 0.5959519788,16213 / 33152 = 0.4890504344,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,3,27134 / 27134 = 1.0,15984 / 27134 = 0.5890764355,13476 / 27134 = 0.496646274,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,10873 / 10874 = 0.9999080375,6504 / 10874 = 0.5981239654,5490 / 10874 = 0.5048740114,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,5,8658 / 8658 = 1.0,5453 / 8658 = 0.6298221298,4133 / 8658 = 0.4773619774,148 / 148 = 1.0,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,6,8605 / 8606 = 0.999883802,5217 / 8606 = 0.6062049733,4128 / 8606 = 0.4796653498,147 / 148 = 0.9932432432,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,7,8082 / 8082 = 1.0,5029 / 8082 = 0.6222469686,3895 / 8082 = 0.4819351646,148 / 148 = 1.0,2 / 148 = 0.0135135135,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,2391 / 2392 = 0.9995819398,1692 / 2392 = 0.7073578595,1146 / 2392 = 0.47909699,147 / 148 = 0.9932432432,8 / 148 = 0.0540540541,3 / 148 = 0.0202702703
../data/data_static_indoor_1_r.mat,148,9,2440 / 2440 = 1.0,1903 / 2440 = 0.7799180328,1181 / 2440 = 0.4840163934,148 / 148 = 1.0,21 / 148 = 0.1418918919,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,10,2842 / 2842 = 1.0,2119 / 2842 = 0.745601689,1319 / 2842 = 0.4641097818,148 / 148 = 1.0,14 / 148 = 0.0945945946,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,11,2584 / 2584 = 1.0,1972 / 2584 = 0.7631578947,1214 / 2584 = 0.4698142415,148 / 148 = 1.0,11 / 148 = 0.0743243243,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,12,2554 / 2554 = 1.0,1988 / 2554 = 0.7783868442,1224 / 2554 = 0.4792482381,148 / 148 = 1.0,16 / 148 = 0.1081081081,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,13,2590 / 2590 = 1.0,1956 / 2590 = 0.7552123552,1262 / 2590 = 0.4872586873,148 / 148 = 1.0,17 / 148 = 0.1148648649,7 / 148 = 0.0472972973
../data/data_static_indoor_1_r.mat,148,14,2614 / 2614 = 1.0,2060 / 2614 = 0.7880642693,1251 / 2614 = 0.4785768936,148 / 148 = 1.0,16 / 148 = 0.1081081081,3 / 148 = 0.0202702703
../data/data_static_indoor_1_r.mat,148,15,674 / 674 = 1.0,543 / 674 = 0.8056379822,384 / 674 = 0.5697329377,148 / 148 = 1.0,59 / 148 = 0.3986486486,30 / 148 = 0.2027027027
# (6),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,42200 / 42208 = 0.9998104625,28982 / 42208 = 0.6866470811,20559 / 42208 = 0.4870877559,145 / 148 = 0.9797297297,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,14722 / 14722 = 1.0,11022 / 14722 = 0.7486754517,7152 / 14722 = 0.4858035593,148 / 148 = 1.0,6 / 148 = 0.0405405405,0 / 148 = 0.0
