		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    2    1    2    4    4    3    2  3.408006 0.906211 SUCCESS   0
000000011    2    1    3    3    2    1    2    0  4.725346 0.786488 SUCCESS   1
000000101    0    1    2    1    3    3    5    1  8.240459 0.410341 SUCCESS   2
000000111    3    3    3    4    1    1    1    3  4.192453 0.839356 SUCCESS   3
000001001    2    1    0    5    3    1    3    4  8.429123 0.392713 SUCCESS   4
000001011    2    1    4    1    3    3    5    2  6.012897 0.645787 SUCCESS   5
000001101    0    3    2    3    3    2    0    3  5.698457 0.680967 SUCCESS   6
000001111    4    3    2    3    4    1    2    5  6.201561 0.624665 SUCCESS   7
000010001    0    4    4    1    5    2    2    1  9.276457 0.319514 SUCCESS   8
000010011    3    1    0    3    4    2    1    3  5.761345 0.673945 SUCCESS   9
000010101    1    2    2    2    6    1    3    5 10.312456 0.243777 SUCCESS  10
000010111    4    3    4    2    4    2    5    4  7.300448 0.504591 SUCCESS  11
000011001    0    2    2    2    1    5    3    2  6.608679 0.579380 SUCCESS  12
000011011    0    3    0    1    3    1    0    2  9.557799 0.297443 SUCCESS  13
000011101    3    2    2    6    2    2    3    3  6.138673 0.631702 SUCCESS  14
000011111    3    6    1    1    3    1    2    5 11.159790 0.192809 SUCCESS  15
000100011    4    1    3    0    3    2    3    2  4.976899 0.760042 SUCCESS  16
000100101    4    1    4    2    3    2    2    1  4.192453 0.839356 SUCCESS  17
000100111    2    5    1    2    4    2    0    3  7.581789 0.475349 SUCCESS  18
