		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001101111    2    2    2    2    0    1    0    1  4.674017 0.791781 SUCCESS  46
001110101    0    0    0    2    3    2    1    2  8.063354 0.427306 SUCCESS  47
001110111    0    1    3    0    0    1    0    1  7.758843 0.457375 SUCCESS  48
001111011    0    3    0    1    0    3    0    0 11.647974 0.167615 SUCCESS  49
001111101    0    0    1    0    1    2    1    1  4.369506 0.822342 SUCCESS  50
001111111    3    0    0    1    1    1    0    1  6.563969 0.584321 SUCCESS  51
010000011    1    1    1    1    1    1    0    1  1.479964 0.993036 SUCCESS  52
010000111    1    1    1    1    3    1    3    1  5.673606 0.683739 SUCCESS  53
010001011    0    2    0    5    2    0    1    2 17.536284 0.024985 SUCCESS  54
010001111    1    1    1    1    1    2    0    1  1.979759 0.981626 SUCCESS  55
010010011    0    3    1    1    2    0    2    0  7.563559 0.477220 SUCCESS  56
010010111    1    1    0    1    0    1    2    0  4.369506 0.822342 SUCCESS  57
010011011    2    1    1    1    1    1    2    0  2.479554 0.962678 SUCCESS  58
010011111    2    2    0    0    2    0    0    0  7.758843 0.457375 SUCCESS  59
010100011    0    1    1    2    1    0    1    1  3.174633 0.922925 SUCCESS  60
010100111    3    0    1    0    2    1    2    0  7.563559 0.477220 SUCCESS  61
010101011    2    2    1    2    1    4    1    2  8.867659 0.353583 SUCCESS  62
010101111    0    0    0    0    1    0    1    2  6.759253 0.562816 SUCCESS  63
010110011    0    1    4    1    1    1    0    4 15.841616 0.044704 SUCCESS  64
010110111    1    1    2    0    0    1    2    1  3.674427 0.885239 SUCCESS  65
010111011    3    2    1    0    0    1    0    2  7.563559 0.477220 SUCCESS  66
010111111    0    0    1    1    2    2    1    1  3.674427 0.885239 SUCCESS  67
011000111    0    1    1    0    2    2    0    0  6.064175 0.640043 SUCCESS  68
011001111    1    1    1    1    2    0    0    1  3.174633 0.922925 SUCCESS  69
011010111    1    2    2    0    0    0    1    0  6.064175 0.640043 SUCCESS  70
011011111    2    0    2    1    0    4    2    1 10.757611 0.215815 SUCCESS  71
011101111    1    0    0    0    0    1    0    0  7.454332 0.488498 SUCCESS  72
011111111    1    0    1    1    2    3    0    1  5.868891 0.661915 SUCCESS  73
100000000    0    0    1    2    0    1    4    1 10.952895 0.204383 SUCCESS  74
100010000    2    0    3    1    1    1    1    0  5.868891 0.661915 SUCCESS  75
100100000    1    1    0    1    2    1    1    2  2.479554 0.962678 SUCCESS  76
100101000    1    0    0    4    1    0    1    3 13.147358 0.106879 SUCCESS  77
100110000    0    2    1    1    2    3    3    4 14.451459 0.070731 SUCCESS  78
100111000    5    1    1    3    1    1    2    2 16.146127 0.040336 SUCCESS  79
101000000    1    0    2    2    1    1    2    0  4.174222 0.841072 SUCCESS  80
101000100    2    1    2    0    0    0    2    4 11.952485 0.153337 SUCCESS  81
101001000    1    0    2    2    1    1    0    1  3.674427 0.885239 SUCCESS  82
101001100    2    1    1    1    2    1    3    0  5.173812 0.738848 SUCCESS  83
101010000    1    2    2    1    1    3    1    0  5.173812 0.738848 SUCCESS  84
101010100    1    0    2    4    1    3    2    2 12.256996 0.140100 SUCCESS  85
101011000    2    1    1    1    0    4    0    2 10.257817 0.247395 SUCCESS  86
101011100    0    2    1    1    0    2    1    4 10.257817 0.247395 SUCCESS  87
101100000    0    1    1    3    3    3    2    3 12.756790 0.120496 SUCCESS  88
101100100    2    3    1    4    3    2    0    0 15.646332 0.047731 SUCCESS  89
101101000    4    1    1    2    2    0    2    1  9.562738 0.297066 SUCCESS  90
101101100    0    1    0    0    1    3    0    2  8.258638 0.408622 SUCCESS  91
101110000    0    1    1    2    0    2    2    1  4.174222 0.841072 SUCCESS  92
101110100    2    1    1    2    0    2    2    0  4.674017 0.791781 SUCCESS  93
101111000    3    3    2    1    1    0    0    0  9.758022 0.282422 SUCCESS  94
101111100    1    1    2    2    2    2    2    2  3.283859 0.915302 SUCCESS  95
110000000    0    1    0    0    1    1    2    1  4.369506 0.822342 SUCCESS  96
110000010    0    1    1    2    0    0    2    5 17.036490 0.029731 SUCCESS  97
110000100    1    1    0    1    1    0    2    4  9.758022 0.282422 SUCCESS  98
110001000    1    1    2    1    1    2    0    0  3.674427 0.885239 SUCCESS  99
110001010    5    0    4    2    1    2    1    0 22.425005 0.004186 FAILURE 100
110010000    2    1    2    1    3    1    0    3  7.868069 0.446463 SUCCESS 101
110010010    1    0    1    2    1    2    2    1  2.979349 0.935647 SUCCESS 102
110010100    3    0    0    2    1    0    0    3 10.952895 0.204383 SUCCESS 103
110011000    0    0    1    0    2    4    0    3 14.842027 0.062291 SUCCESS 104
110011010    1    3    0    0    0    1    1    1  6.563969 0.584321 SUCCESS 105
110100000    1    1    0    1    3    1    0    0  6.563969 0.584321 SUCCESS 106
110100010    2    0    2    1    1    1    2    1  2.979349 0.935647 SUCCESS 107
110100100    0    0    1    1    1    0    0    0  6.259459 0.618194 SUCCESS 108
