		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111111010    2    2    2    1    3    1    3    3  2.372008 0.967432 SUCCESS 145
111111100    1    2    7    2    3    2    0    0 15.082020 0.057570 SUCCESS 146
111111110    2    0    2    1    4    2    2    0  7.204461 0.514742 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    3    3    2    4    0    2    2  4.129564 0.845248 SUCCESS   0
000000011    1    2    0    4    1    1    1    1  7.926019 0.440730 SUCCESS   1
000000101    2    2    1    3    5    4    3    5  7.959118 0.437474 SUCCESS   2
000000111    1    0    2    2    4    1    2    0  7.988907 0.434555 SUCCESS   3
000001001    1    1    2    2    3    3    1    5  5.824233 0.666913 SUCCESS   4
000001011    3    3    4    2    1    2    1    2  3.282230 0.915418 SUCCESS   5
000001101    2    5    2    6    0    2    1    1 12.665794 0.123878 SUCCESS   6
000001111    1    1    2    3    3    1    3    1  3.940900 0.862416 SUCCESS   7
000010001    1    5    3    1    2    4    1    4  7.707565 0.462545 SUCCESS   8
000010011    2    2    3    2    2    1    2    3  1.524674 0.992290 SUCCESS   9
000010101    7    2    4    2    3    3    4    5 14.204897 0.076579 SUCCESS  10
000010111    3    2    3    1    2    5    2    4  5.228451 0.732903 SUCCESS  11
000011001    2    2    1    3    2    4    2    4  3.408006 0.906211 SUCCESS  12
000011011    2    6    3    4    1    1    0    3 11.034014 0.199779 SUCCESS  13
000011101    3    1    1    2    0    3    1    2  5.509792 0.701955 SUCCESS  14
000011111    3    1    3    2    5    2    3    1  5.102675 0.746548 SUCCESS  15
000100011    2    4    3    1    3    3    2    3  2.623560 0.955720 SUCCESS  16
000100101    3    2    3    2    5    4    1    3  5.291339 0.726032 SUCCESS  17
000100111    1    0    2    4    3    1    0    1  8.836241 0.356298 SUCCESS  18
000101001    0    3    3    5    5    2    7    1 18.190015 0.019846 SUCCESS  19
000101011    2    2    3    4    3    3    2    7 10.564008 0.227647 SUCCESS  20
000101101    2    2    4    1    3    1    1    2  4.003788 0.856782 SUCCESS  21
000101111    3    1    5    2    1    4    2    0  8.366235 0.398537 SUCCESS  22
000110011    2    6    1    2    6    3    2    8 25.220241 0.001426 FAILURE  23
000110101    1    3    3    4    3    2    3    1  3.408006 0.906211 SUCCESS  24
000110111    1    6    6    5    1    0    2    4 18.974461 0.014997 SUCCESS  25
000111001    0    3    5    2    0    3    2    2  8.303347 0.404413 SUCCESS  26
000111011    2    3    1    0    1    1    2    1  6.231350 0.621335 SUCCESS  27
000111101    1    3    5    2    5    0    4    2 10.312456 0.243777 SUCCESS  28
000111111    3    3    2    2    4    4    5    1  6.201561 0.624665 SUCCESS  29
001000011    4    7    4    2    2    1    6    2 17.468457 0.025584 SUCCESS  30
001000101    2    0    1    1    1    2    1    2  6.168462 0.628368 SUCCESS  31
001000111    3    3    3    1    5    6    3    3  9.779562 0.280840 SUCCESS  32
001001011    3    4    4    3    4    1    0    3  6.923119 0.544950 SUCCESS  33
001001101    4    7    3    2    1    2    5    2 13.953345 0.082990 SUCCESS  34
001001111    1    1    0    3    4    1    1    2  7.204461 0.514742 SUCCESS  35
001010011    1    2    0    2    4    2    4    3  5.824233 0.666913 SUCCESS  36
001010101    5    1    3    0    3    3    3    1  7.581789 0.475349 SUCCESS  37
001010111    3    1    3    6    3    2    6    3 12.321564 0.137423 SUCCESS  38
001011011    1    0    1    2    1    2    0    1  8.584688 0.378532 SUCCESS  39
001011101    4    2    3    3    2    1    4    5  6.201561 0.624665 SUCCESS  40
001011111    5    1    3    4    1    5    2    1  9.465122 0.304589 SUCCESS  41
001100101    6    1    5    1    1    8    4    3 25.157353 0.001462 FAILURE  42
001100111    0    4    2    1    2    5    3    7 16.369571 0.037386 SUCCESS  43
001101011    3    5    3    4    2    3    1    1  6.075785 0.638743 SUCCESS  44
001101101    2    3    1    2    3    3    4    2  2.560672 0.958842 SUCCESS  45
001101111    1    5    3    2    1    2    2    4  5.950009 0.652832 SUCCESS  46
001110101    2    1    1    3    1    2    0    1  6.231350 0.621335 SUCCESS  47
001110111    1    2    1    0    0    1    0    2 10.216469 0.250160 SUCCESS  48
001111011    2    3    4    3    8    2    2    4 15.773789 0.045735 SUCCESS  49
001111101    3    2    2    0    5    0    1    3  9.087793 0.334944 SUCCESS  50
001111111    3    1    3    2    5    4    4    2  6.201561 0.624665 SUCCESS  51
010000011    4    3    2    3    0    2    2    2  4.129564 0.845248 SUCCESS  52
010000111    3    6    4    3    2    1    5    1 11.348454 0.182726 SUCCESS  53
010001011    1    0    4    2    2    3    2    1  5.635568 0.687978 SUCCESS  54
010001111    4    3    1    0    6    5    5    1 16.432459 0.036592 SUCCESS  55
010010011    2    5    2    2    1    2    2    5  6.860231 0.551785 SUCCESS  56
010010111    2    3    0    4    3    2    2    1  4.914011 0.766726 SUCCESS  57
010011011    2    1    1    3    2    2    4    5  5.950009 0.652832 SUCCESS  58
010011111    0    2    0    1    4    2    1    2  7.988907 0.434555 SUCCESS  59
010100011    6    4    0    2    7    1    5    3 21.705128 0.005492 FAILURE  60
010100111    0    4    1    2    2    2    2    4  5.761345 0.673945 SUCCESS  61
010101011    4    0    4    1    3    5    2    1  9.339345 0.314483 SUCCESS  62
010101111    3    0    1    6    4    1    4    3 12.007124 0.150886 SUCCESS  63
010110011    0    3    2    1    1    3    3    2  4.788234 0.779952 SUCCESS  64
010110111    1    1    0    3    2    0    0    3  9.557799 0.297443 SUCCESS  65
010111011    1    1    3    2    0    1    5    2  8.177571 0.416320 SUCCESS  66
010111111    2    0    2    7    2    3    2    1 12.665794 0.123878 SUCCESS  67
011000111    2    1    5    4    3    3    3    3  5.354227 0.719131 SUCCESS  68
011001111    0    4    4    3    1    2    3    6 11.222678 0.189398 SUCCESS  69
011010111    2    2    2    3    0    1    2    0  6.294238 0.614310 SUCCESS  70
011011111    1    3    2    1    0    1    2    2  5.446904 0.708915 SUCCESS  71
011101111    0    2    2    1    1    2    1    2  5.384016 0.715853 SUCCESS  72
011111111    3    1    4    0    5    6    2    2 12.917346 0.114725 SUCCESS  73
100000000    2    3    3    2    4    0    2    2  4.129564 0.845248 SUCCESS  74
100010000    3    6    5    2    2    1    5    2 12.258676 0.140030 SUCCESS  75
100100000    3    3    1    1    0    3    3    3  4.914011 0.766726 SUCCESS  76
100101000    5    5    1    2    2    6    5    0 17.342681 0.026732 SUCCESS  77
100110000    0    0    1    2    4    3    0    2  9.683575 0.287941 SUCCESS  78
100111000    2    1    3    5    1    3    6    1 11.159790 0.192809 SUCCESS  79
101000000    4    1    0    4    1    5    1    1 10.845349 0.210617 SUCCESS  80
101000100    1    4    6    0    4    4    3    3 12.195788 0.142680 SUCCESS  81
101001000    2    4    3    1    4    1    5    3  6.986007 0.538143 SUCCESS  82
101001100    2    0    3    3    3    5    2    0  8.366235 0.398537 SUCCESS  83
101010000    4    4    1    2    3    1    1    2  4.976899 0.760042 SUCCESS  84
101010100    2    5    2    3    2    1    1    2  4.976899 0.760042 SUCCESS  85
101011000    3    1    3    3    2    3    2    3  1.713338 0.988575 SUCCESS  86
101011100    7    4    3    2    5    2    4    2 14.142009 0.078138 SUCCESS  87
101100000    2    1    3    3    6    0    0    6 17.028241 0.029816 SUCCESS  88
101100100    3    2    3    2    0    4    1    2  4.914011 0.766726 SUCCESS  89
101101000    4    2    3    2    2    4    3    1  3.470895 0.901437 SUCCESS  90
101101100    1    3    2    4    2    4    1    1  4.976899 0.760042 SUCCESS  91
101110000    3    3    2    0    6    2    3    3  8.617787 0.375557 SUCCESS  92
101110100    6    3    3    2    4    1    1    4  9.590898 0.294921 SUCCESS  93
101111000    1    3    4    4    0    2    1    3  6.671567 0.572447 SUCCESS  94
101111100    3    2    3    2    3    2    1    2  1.587562 0.991157 SUCCESS  95
110000000    0    2    2    2    6    1    0    1 12.351354 0.136202 SUCCESS  96
110000010    4    3    6    1    3    1    5    4 12.321564 0.137423 SUCCESS  97
110000100    4    4    3    3    2    3    0    1  5.950009 0.652832 SUCCESS  98
110001000    3    4    4    2    3    0    3    1  5.950009 0.652832 SUCCESS  99
110001010    3    2    2    4    4    2    3    3  2.749337 0.949090 SUCCESS 100
110010000    4    5    3    2    1    2    2    2  5.165563 0.739743 SUCCESS 101
110010010    0    1    2    3    1    5    1    0 10.593797 0.225794 SUCCESS 102
110010100    6    5    2    1    2    6    5    1 18.315792 0.018980 SUCCESS 103
110011000    1    0    0    2    3    3    1    3  7.204461 0.514742 SUCCESS 104
110011010    3    4    2    3    0    1    0    4  8.303347 0.404413 SUCCESS 105
110100000    2    2    1    4    0    4    2    3  5.824233 0.666913 SUCCESS 106
110100010    1    1    2    0    6    3    2    3 10.060903 0.260777 SUCCESS 107
110100100    2    4    2    2    2    1    7    4 12.132900 0.145372 SUCCESS 108
110101000    2    3    3    1    4    2    4    3  3.533783 0.896552 SUCCESS 109
110101010    1    4    3    4    2    3    0    2  5.887121 0.659874 SUCCESS 110
110101100    6    3    2    4    3    4    2    4  8.995116 0.342708 SUCCESS 111
110110000    3    1    3    2    5    4    1    3  6.075785 0.638743 SUCCESS 112
110110010    4    3    1    1    1    2    1    2  4.788234 0.779952 SUCCESS 113
110110100    6    2    2    2    1    1    7    0 18.722909 0.016414 SUCCESS 114
110111000    6    2    4    2    4    0    2    3 10.375344 0.239663 SUCCESS 115
110111010    3    3    0    4    1    1    0    3  8.177571 0.416320 SUCCESS 116
110111100    0    1    0    1    3    1    2    2  7.863131 0.446953 SUCCESS 117
111000000    0    0    3    2    3    2    2    2  5.572680 0.694975 SUCCESS 118
111000010    2    2    3    3    3    3    3    3  0.991780 0.998300 SUCCESS 119
111000100    4    4    4    3    2    1    4    0  7.770453 0.456208 SUCCESS 120
111000110    4    1    5    3    3    2    0    5 10.375344 0.239663 SUCCESS 121
111001000    3    6    2    1    2    1    5    2 10.312456 0.243777 SUCCESS 122
111001010    3    2    2    4    2    3    4    2  2.686448 0.952469 SUCCESS 123
111001100    2    2    1    2    1    6    0    3  9.998015 0.265165 SUCCESS 124
111010000    0    5    5    3    0    3    2    1 11.818460 0.159489 SUCCESS 125
111010010    6    2    1    2    3    3    4    3  7.896229 0.443672 SUCCESS 126
111010100    1    3    1    1    3    2    0    2  5.509792 0.701955 SUCCESS 127
111010110    2    1    1    5    1    2    1    4  7.456013 0.488323 SUCCESS 128
111011000    4    3    4    6    5    2    3    5 13.483339 0.096266 SUCCESS 129
111011010    5    1    2    1    2    2    8    0 20.417577 0.008867 FAILURE 130
111011100    4    2    3    2    2    0    1    3  4.914011 0.766726 SUCCESS 131
111100000    1    1    3    1    2    1    4    5  7.518901 0.481816 SUCCESS 132
111100010    4    4    1    5    3    1    5    1 10.438232 0.235604 SUCCESS 133
111100100    2    4    2    2    2    4    2    1  3.345118 0.910872 SUCCESS 134
111100110    2    2    1    3    1    4    0    3  5.698457 0.680967 SUCCESS 135
111101000    0    4    4    2    2    0    2    1  8.177571 0.416320 SUCCESS 136
111101010    1    2    2    3    3    2    1    1  3.093566 0.928349 SUCCESS 137
111101100    2    2    4    3    6    2    2    4  7.959118 0.437474 SUCCESS 138
111101110    7    3    2    3    5    2    2    3 12.321564 0.137423 SUCCESS 139
111110000    0    1    2    1    2    3    4    2  5.635568 0.687978 SUCCESS 140
111110010    4    3    4    5    1    3    2    1  6.986007 0.538143 SUCCESS 141
111110100    0    2    3    3    2    2    1    1  4.725346 0.786488 SUCCESS 142
111110110    4    2    1    2    3    1    4    2  4.192453 0.839356 SUCCESS 143
111111000    0    2    2    2    1    4    5    1  8.303347 0.404413 SUCCESS 144
111111010    0    3    1    3    4    2    2    2  4.914011 0.766726 SUCCESS 145
111111100    2    1    4    0    2    4    1    4  7.518901 0.481816 SUCCESS 146
111111110    2    1    4    0    5    6    2    2 12.854458 0.116956 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
